sku,name,calories_per_dollar,dollars_per_calorie,price_usd,calories_per_container,calories_per_serving,servings_per_container,dollars_per_serving
070996,RICE JASMINE ORGANIC,916.9054441260745,0.001090625,3.49,3200.0,160.0,20.0,0.17450000000000002
090801,FRUIT JELLIES,909.7744360902255,0.0010991735537190083,3.99,3630.0,330.0,11.0,0.36272727272727273
155424,TJ'S FIG & DATE BAR,909.0909090909091,0.0011,0.99,900.0,180.0,5.0,0.198
071782,BUTTER VEGAN,904.5226130653266,0.0011055555555555556,1.99,1800.0,100.0,18.0,0.11055555555555556
000690,PEANUT BUTTER PRETZEL NO SALT,903.6144578313252,0.0011066666666666668,2.49,2250.0,150.0,15.0,0.166
010631,ROASTED & UNSALTED PEANUTS,903.010033444816,0.0011074074074074074,2.99,2700.0,180.0,15.0,0.19933333333333333
010009,LOW SODIUM ROASTED PEANUTS,903.010033444816,0.0011074074074074074,2.99,2700.0,180.0,15.0,0.19933333333333333
098651,OATMEAL CANISTER QUICK STEEL,903.010033444816,0.0011074074074074074,2.99,2700.0,150.0,18.0,0.16611111111111113
000868,ROASTED & SALTED PEANUTS,903.010033444816,0.0011074074074074074,2.99,2700.0,180.0,15.0,0.19933333333333333
021149,ORG WHOLE WHEAT SPAGHETTI,893.8547486033519,0.00111875,1.79,1600.0,200.0,8.0,0.22375
072622,PASTA BUCATINI ORGANIC,893.8547486033519,0.00111875,1.79,1600.0,200.0,8.0,0.22375
078121,PEANUT BUTTER HONEY,889.6321070234113,0.0011240601503759399,2.99,2660.0,190.0,14.0,0.21357142857142858
007537,WHOLE DURUM WHEAT COUSCOUS,884.4221105527638,0.0011306818181818182,1.99,1760.0,160.0,11.0,0.1809090909090909
031826,OIL GRAPESEED,881.9599109131402,0.001133838383838384,4.49,3960.0,120.0,33.0,0.13606060606060608
092336,WHOLE WHEAT PIZZA DOUGH,873.9495798319329,0.0011442307692307691,1.19,1040.0,130.0,8.0,0.14875
051890,ORG TUNISIAN UNFILTERED EVOO,858.8588588588589,0.0011643356643356642,9.99,8580.0,130.0,66.0,0.15136363636363637
019701,SESAME STICKS,852.8428093645484,0.0011725490196078433,2.99,2550.0,170.0,15.0,0.19933333333333333
095764,OATMEAL GLUTEN FREE ROLLED OAT,852.1303258145363,0.001173529411764706,3.99,3400.0,170.0,20.0,0.1995
052919,PEANUT BUTTER W/FLAX & CHIA,851.063829787234,0.001175,3.29,2800.0,200.0,14.0,0.23500000000000001
027042,ORG CANE SUGAR,849.6240601503758,0.001176991150442478,3.99,3390.0,30.0,113.0,0.035309734513274335
060932,ORG MAYONNAISE,844.3271767810027,0.0011843749999999999,3.79,3200.0,100.0,32.0,0.1184375
077302,DRESSING VINAIGRETTE FRENCH,844.2211055276382,0.0011845238095238096,1.99,1680.0,140.0,12.0,0.16583333333333333
025925,BUTTERMILK PANCAKE MIX,843.3734939759036,0.0011857142857142858,2.49,2100.0,140.0,15.0,0.166
088587,FLAX SEED GOLDEN ROASTED WHOLE,842.809364548495,0.0011865079365079366,2.99,2520.0,90.0,28.0,0.10678571428571429
093202,TUSCAN PANE,838.4279475982532,0.0011927083333333334,2.29,1920.0,120.0,16.0,0.143125
000691,PEANUT BUTTER PRETZEL SALT,836.4312267657992,0.0011955555555555556,2.69,2250.0,150.0,15.0,0.17933333333333332
020484,100% GREEK KALAMATA EVOO,818.926296633303,0.0012211111111111112,10.99,9000.0,900.0,10.0,1.099
001437,IMPORTED OLIVE OIL,816.8168168168168,0.001224264705882353,9.99,8160.0,120.0,68.0,0.14691176470588235
050953,THE ORIGINAL HONEY ROASTED PEANUTS,816.618911174785,0.001224561403508772,3.49,2850.0,190.0,15.0,0.2326666666666667
076743,HOL BAKING CINNAMON BUN PANCAKE WAFFLE MIX,814.070351758794,0.001228395061728395,1.99,1620.0,180.0,9.0,0.22111111111111112
050765,SMALL WHOLE GREEN LENTILS,814.070351758794,0.001228395061728395,1.99,1620.0,180.0,9.0,0.22111111111111112
098827,NUTTY BITS DK CHOC,812.0300751879698,0.0012314814814814816,3.99,3240.0,540.0,6.0,0.665
094528,ORGANIC POPPING CORN,809.3645484949832,0.0012355371900826448,2.99,2420.0,110.0,22.0,0.13590909090909092
014614,PITA,808.0808080808081,0.0012375,0.99,800.0,200.0,4.0,0.2475
075723,PASTA FARFALLE RIGATE ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
072525,PASTA FUSILLI CORTI BUCATI ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
071814,HOL ORNAMENT MUG MELTS,804.0201005025126,0.0012437499999999998,1.99,1600.0,400.0,4.0,0.4975
074213,PASTA TROFIE ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
092403,WHEAT FLOUR & CORN TORTILLAS,804.0201005025126,0.0012437499999999998,1.99,1600.0,160.0,10.0,0.199
075657,PASTA QUINTET ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
053165,RICE BROWN MEDLEY,804.0201005025126,0.0012437499999999998,1.99,1600.0,160.0,10.0,0.199
079359,PASTA RADIATORE ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
079746,PASTA SQUARE RIGATONI ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
056492,PASTA TROFIE COLORE,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
078270,PASTA FARFALLINE ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
078105,PASTA SPAGHETTI TRIANGOLETTI ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
075722,PASTA SPAGHETTI ALLA CHITARRA ORGANIC,804.0201005025126,0.0012437499999999998,1.99,1600.0,200.0,8.0,0.24875
071318,MAYONNAISE CHILI LIME,802.6755852842808,0.0012458333333333336,2.99,2400.0,100.0,24.0,0.12458333333333334
006252,BUTTER QUARTERS SALTED,802.0050125313282,0.0012468750000000002,3.99,3200.0,100.0,32.0,0.1246875
006253,BUTTER QUARTERS UNSALTED,802.0050125313282,0.0012468750000000002,3.99,3200.0,100.0,32.0,0.1246875
079172,RICE ORG BASMATI FROM INDIA,802.0050125313282,0.0012468750000000002,3.99,3200.0,160.0,20.0,0.1995
073245,EVOO 100% GREEK KALAMATA PDO 500ML,793.5871743486973,0.0012601010101010103,4.99,3960.0,120.0,33.0,0.15121212121212121
050322,MAC & CHEESE CHEDDAR,787.8787878787879,0.0012692307692307692,0.99,780.0,260.0,3.0,0.33
050755,LATTEMIELE,771.0843373493975,0.001296875,2.49,1920.0,160.0,12.0,0.20750000000000002
015503,ORG THOMPSON SEEDLESS RAISINS,769.2307692307692,0.0013000000000000002,4.29,3300.0,300.0,11.0,0.39
096420,RS SUNFLOWER SEEDS IN-SHELL,767.6767676767677,0.0013026315789473684,0.99,760.0,190.0,4.0,0.2475
014633,WHOLE WHEAT PITA,767.6767676767677,0.0013026315789473684,0.99,760.0,190.0,4.0,0.2475
077993,COUSCOUS ORGANIC,759.7765363128492,0.0013161764705882353,1.79,1360.0,170.0,8.0,0.22375
077664,MAC & CHEESE  CHEDDAR,757.5757575757576,0.00132,0.99,750.0,250.0,3.0,0.33
006205,MILK HALF GALLON WHOLE,754.7169811320755,0.001325,1.59,1200.0,150.0,8.0,0.19875
092337,GARLIC & HERB PIZZA DOUGH,751.6778523489933,0.001330357142857143,1.49,1120.0,140.0,8.0,0.18625
010720,BREAD SHEPHERDS MWO,751.0040160642569,0.0013315508021390376,2.49,1870.0,110.0,17.0,0.14647058823529413
066437,WALNUT PESTO,743.7185929648241,0.0013445945945945947,1.99,1480.0,370.0,4.0,0.4975
016126,OLD FASHIONED BLISTER PEANUTS SALT,739.1304347826086,0.0013529411764705884,2.99,2210.0,170.0,13.0,0.23
057806,HOL PASTA FALL ZUCCHETTE,738.6934673366834,0.0013537414965986395,1.99,1470.0,210.0,7.0,0.2842857142857143
001465,EXTRA VIRGIN OLIVE OIL 1 LITER,731.5741583257507,0.0013669154228855723,10.99,8040.0,120.0,67.0,0.16402985074626866
097210,TURBINADO RAW CANE SUGAR,730.6590257879656,0.0013686274509803922,3.49,2550.0,30.0,85.0,0.041058823529411766
097506,WHITE CORN TORTILLAS,727.2727272727273,0.0013750000000000001,0.99,720.0,120.0,6.0,0.165
077345,THINS VANILLA,724.8322147651007,0.0013796296296296295,1.49,1080.0,120.0,9.0,0.16555555555555557
054971,ORG ATHINOLIA GRK UNFLTRD EVOO,716.1936560934892,0.0013962703962703963,5.99,4290.0,130.0,33.0,0.18151515151515152
096468,QUICK COOK ORG BRWN BASMATI,712.6948775055679,0.001403125,4.49,3200.0,160.0,20.0,0.2245
073911,TORTILLA FLOUR BURRITO SIZE 13 INCH,702.3411371237457,0.001423809523809524,2.99,2100.0,350.0,6.0,0.49833333333333335
050448,OATMEAL CANISTER ORG STEEL CUT,701.5590200445434,0.0014253968253968253,4.49,3150.0,150.0,21.0,0.2138095238095238
086931,PASTA ORG BROWN RICE FUSILLI,698.6899563318777,0.00143125,2.29,1600.0,200.0,8.0,0.28625
